site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1014,"Nmai Dzorn",Airtel,0,465.4,0,465.4
1021,Awoshie,Airtel,198.8,203.3,199.9,602
1024,"Roman Ridge",Airtel,176.3,0,171.9,348.2
1032,Ashiaman,Airtel,281.4,186.1,218.1,685.6
1064,Kwashiman,Airtel,21.9,22.6,22,66.5
1067,Baatsona,Airtel,0,454.8,8.8,463.6
1073,"Tema Industrial",Airtel,0,0,475.8,475.8
1078,Ringway,Airtel,0,0,0,0
1088,Ada,Airtel,209.9,5.2,200.8,415.9
1089,Dodowa,Airtel,0,268.8,266.5,535.3
1091,"America House Area",Airtel,0,377.7,225.7,603.4
1092,"Teshie Tsui Bleoo",Airtel,246,235.4,0,481.4
1094,"North Industrial Area",Airtel,280.8,374.7,150.2,805.7
1095,"Abeka Market",Airtel,544.5,183.5,0.2,728.2
1096,Abofu,Airtel,506.4,136.2,144.3,786.9
1100,Alajo,Airtel,174.3,180.9,180.2,535.4
1103,Chemu,Airtel,148.4,0,0,148.4
1107,Katamanto,Airtel,-36371.4,-5110.1,-161,-41642.5
1110,Nima,Airtel,303.2,0,308.6,611.8
1117,"Yellow House Area",Airtel,171.6,172.2,230.2,574
1121,"Trassaco Valley",Airtel,68.5,0,14.8,83.3
1123,"Ashiaman Zenu",Airtel,539.9,0,0,539.9
1136,"Community 19 ",Airtel,0,361.3,111.6,472.9
1139,Dawhenya,Airtel,149.6,154.1,216.8,520.5
1140,"48 Engineering Regiment",Airtel,185.7,11,187.2,383.9
1141,"Achimota Golf Course",Airtel,435.6,0,148.1,583.7
1145,Community12,Airtel,1.9,96.1,96.8,194.8
1146,"Korle Gonno",Airtel,252.6,223.7,187.8,664.1
1149,"Dansoman Ssnit",Airtel,0,259.8,246.2,506
1152,Sakora,Airtel,5.5,190.9,201.1,397.5
1155,"Comet Estates",Airtel,56.9,218.7,262.5,538.1
1156,"Dansoman Ageege",Airtel,271.7,271.9,120.1,663.7
1160,"Nima Roundabout",Airtel,191.3,193.7,184.4,569.4
1164,"Achimota Newtown",Airtel,0,256.1,264.3,520.4
1177,"Gbawe Bulemin",Airtel,98.5,99.4,96.6,294.5
1180,"Nungua Brigade",Airtel,250.3,0,255.6,505.9
1182,"Lartebiokorshie Brigade",Airtel,235.4,220.4,226,681.8
1188,"Nautical College",Airtel,251,236,254.8,741.8
1194,"Saint Anthony School",Airtel,0.5,384.5,443.1,828.1
1196,"Sapeiman ",Airtel,20.6,518.5,11.9,551
1199,"Kasoa Amanfro",Airtel,0,666.5,0,666.5
1211,"South Sutreso",Airtel,170.7,183.8,162.9,517.4
1220,Ayeduase,Airtel,158.9,168.6,171,498.5
1222,Asokwa,Airtel,755.6,173.8,416.7,1346.1
1247,Goaso,Airtel,179.4,239.2,0,418.6
1249,Nsuta,Airtel,143.2,0,154.2,297.4
1272,"New Tafo",Airtel,155.8,0,371.9,527.7
1274,Breman,Airtel,164.9,269.6,136.9,571.4
1276,Krofrom,Airtel,665.6,0,0,665.6
1279,"Asokore Mampong",Airtel,149.4,130.8,124.8,405
1282,"Kumasi Poly",Airtel,69.2,69.9,0,139.1
1283,"Kumasi Stadium",Airtel,5.5,546.9,0,552.4
1286,"Atonso Agogo",Airtel,0.4,268.9,255,524.3
1287,Deduako,Airtel,290.3,121.3,142.8,554.4
1293,Atimatim,Airtel,261.6,129.4,133.9,524.9
1298," Asante Akropong",Airtel,146.8,176.8,271.1,594.7
1304,Sekondi,Airtel,297.1,0,314.6,611.7
1319,Apowa,Airtel,162,139.4,180.4,481.8
1320,Jukwa,Airtel,0,331.8,107.5,439.3
1327,Anomabo,Airtel,75.6,0,32.9,108.5
1329,"Half Assini",Airtel,335.4,172.9,0,508.3
1349,Inchaban,Airtel,104,285.1,105.7,494.8
1352,Prestea,Airtel,155.8,157,158.4,471.2
1355,Nsuayem,Airtel,83.699999999999,95.5,97.9,277.1
1362,Adiembra,Airtel,2.5,111,104,217.5
1372,Mpohor,Airtel,196.2,91.3,92.9,380.4
1373,Nkroful,Airtel,178.6,0,83.1,261.7
1376,Bussia,Airtel,0,68,68.4,136.4
1379,Fijai,Airtel,233.1,232.9,82.4,548.4
1382,"Shama Junction",Airtel,168.8,0,0,168.8
1383,"Pipe Ano",Airtel,168.5,167,152.9,488.4
1388,Esipong,Airtel,295.9,140.3,145.9,582.1
1391,"Habour (T Di)",Airtel,174.2,172.3,163.1,509.6
1398,"Tanokrom West",Airtel,0,645.7,0,645.7
1408,Jejeti,Airtel,111.5,116.4,111.6,339.5
1414,Asafo,Airtel,89.3,91.4,97.200000000001,277.9
1415,Nkawkaw,Airtel,133.9,132.9,132,398.8
1416,"Odumasi Krobo",Airtel,169.6,334.6,0,504.2
1421,Akrade,Airtel,0,243.8,243.9,487.7
1433,Atibie,Airtel,89.2,85.9,82.3,257.4
1435,"Suhum Ayekotse",Airtel,195.6,228.5,184.2,608.3
1436,Kukurantumi,Airtel,140.6,292.7,0,433.3
1442,"Abomosu Kwabeng",Airtel,163.3,77.7,85.5,326.5
1446,"Kwahu Oboo",Airtel,61.5,0.099999999999966,29.4,91
1454,"Kwahu Nkwatia",Airtel,194.5,95.8,0,290.3
1468,Kwabeng,Airtel,192.2,2.4,199.2,393.8
1469,"Abrewa Nkwanta/New Kotec",Airtel,248.8,236.2,0,485
1545,Paga,Airtel,119.6,244.3,0,363.9
1546,"Wa UDS",Airtel,0,313.1,201.7,514.8
1556,"Bolgatanga Zaare",Airtel,360.4,8.8,10.2,379.4
1564,Pusiga,Airtel,118.9,123.3,123.5,365.7
1599,"Dobile (Wa Ii)",Airtel,88.7,0,97.4,186.1
1611,Akwatia,Airtel,382.5,0,185,567.5
1645,Denu,Airtel,138.7,136.4,144.3,419.4
1646,Anloga,Airtel,0,200.7,187.2,387.9
1729,"Damang Li (Damang Capacity)",Airtel,-307.6,-321.3,-294.3,-923.2
1733,"Jeway Wharf",Airtel,63.1,66.4,63.3,192.8
1747,"Tanokrom East",Airtel,229.5,324.3,0,553.8
1785,Ahenfie,Airtel,161.4,173.7,174,509.1
1801,"Santase Roundabout",Airtel,202.8,203.7,200,606.5
1803,Kotei,Airtel,218.7,0,231.9,450.6
1810,"Adenkwame (Barekese)",Airtel,106.6,100.3,106.5,313.4
1822,Jacobu,Airtel,100.2,94.6,94.1,288.9
1826,"Mbre Adane",Airtel,348.5,177.1,218.3,743.9
1827,Kwantwima,Airtel,0,0,0,0
1832,Sepaase,Airtel,11.9,11.7,11.6,35.2
1840,"K-Line - Asawasi (Royal)",Airtel,185,195.6,185.6,566.2
1841,"Kumasi Ashtown",Airtel,0,262.6,282.7,545.3
