site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1832,Sepaase,MTN,15.1,14.6,14.5,44.2
1908,"Teshie Township",MTN,248.2,125.1,118,491.3
1362,Adiembra,MTN,672.3,654.9,164,1491.2
1174,"Community Twenty Two",MTN,668.3,326.9,314.4,1309.6
1416,"Odumasi Krobo",MTN,294.5,300.3,311,905.8
1203,Oduom,MTN,54.4,51.7,51.2,157.3
1344,"Assin Sibenso",MTN,263,1.3,242.1,506.4
1024,"Roman Ridge",MTN,747.6,330.7,331.4,1409.7
1131,"Agyen Kotoku",MTN,569.1,361.6,367.5,1298.2
1185,"Neoplan (Circle)",MTN,95.6,53,92.9,241.5
1391,"Habour (T Di)",MTN,0,632.7,605,1237.7
1735,Mpataba,MTN,32.9,0,34.9,67.8
1064,Kwashiman,MTN,13,7,7.7,27.7
1965,"Kasoa Ii/Iron City",MTN,465.8,459.1,453.6,1378.5
1123,"Ashiaman Zenu",MTN,349.2,334.4,688.2,1371.8
1147,Southablekuma,MTN,-189.2,-184.5,-166.2,-539.9
1566,Fellimong,MTN,484.6,263.1,0,747.7
1146,"Korle Gonno",MTN,675.3,675.4,700.3,2051
1182,"Lartebiokorshie Brigade",MTN,348.2,389.1,355.6,1092.9
1607,"Ho Stadium",MTN,355.8,362.1,357.1,1075
1714,Abura,MTN,360.8,372.6,0,733.4
1155,"Comet Estates",MTN,718.1,465.5,261.3,1444.9
1168,"Adjei Kojo Main",MTN,637.2,989.4,607.6,2234.2
1351,"Sefwi Bekwai",MTN,633.1,866.3,0,1499.4
1373,Nkroful,MTN,644,256.2,254.9,1155.1
1438,Adweso,MTN,440.4,634.1,675.2,1749.7
1956,"Anyaa  Nic Down",MTN,278.7,300.1,308.1,886.9
1562,Chiana,MTN,260.3,259.7,273.5,793.5
1652,Abor,MTN,206.9,421.8,462.8,1091.5
1097,"Abossey Okai",MTN,551,290.5,269.3,1110.8
1275,"Suame Magazine",MTN,36,53.9,16.2,106.1
1398,"Tanokrom West",MTN,1016.1,0,573.1,1589.2
1434,"Koforidua Newtown",MTN,571.6,745.6,348.8,1666
