site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1005,Teshie,Tigo,32.5,36.5,46.6,115.6
1013,Odorkor,Tigo,534.4,581.6,1294.2,2410.2
1014,"Nmai Dzorn",Tigo,812,2318.7,586.4,3717.1
1018,Madina,Tigo,4081.3,1917.2,359.2,6357.7
1021,Awoshie,Tigo,1960.5,1196.3,357.8,3514.6
1024,"Roman Ridge",Tigo,517,1758.8,867.6,3143.4
1032,Ashiaman,Tigo,563,433.3,544.9,1541.2
1036,Adenta,Tigo,1679.4,2218.2,656.1,4553.7
1038,Aviation,Tigo,1160.5,1689,1942.2,4791.7
1042,Ashongman,Tigo,1171.8,610.6,857.8,2640.2
1043,Amasaman,Tigo,1596,584.6,603.5,2784.1
1046,"Adenta Barrier",Tigo,2224.3,1163.9,796.3,4184.5
1058,"Ashale Botwe",Tigo,582.6,2568.2,1215.1,4365.9
1063,"Taifa ",Tigo,563.6,1757.1,1446.8,3767.5
1067,Baatsona,Tigo,-15925.7,-17412.2,-28727.1,-62065
1073,"Tema Industrial",Tigo,1235.5,2266.1,796.7,4298.3
1078,Ringway,Tigo,1762,1656.5,541.9,3960.4
1082,Laterbiokoshie,Tigo,-4605.6,-9534.6,-20882.6,-35022.8
1088,Ada,Tigo,318.5,387.3,1315.4,2021.2
1089,Dodowa,Tigo,770,2791.1,1496.7,5057.8
1090,Afienya,Tigo,626,850.8,318.9,1795.7
1091,"America House Area",Tigo,707.9,2588,1041.1,4337
1092,"Teshie Tsui Bleoo",Tigo,514.5,1423.1,3068.9,5006.5
1094,"North Industrial Area",Tigo,1644.5,1415.9,1180.9,4241.3
1095,"Abeka Market",Tigo,1769.2,1093.5,1246.7,4109.4
1096,Abofu,Tigo,1480.6,1008.6,670.3,3159.5
1097,"Abossey Okai",Tigo,-10074.4,-15749.4,-9898.5,-35722.3
1098,"Akoko Foto",Tigo,1327.7,1651,786.1,3764.8
1099,Jamestown,Tigo,1792.6,318.4,262,2373
1100,Alajo,Tigo,2772.3,2584.7,1103.4,6460.4
1102,"Ashiaman Market",Tigo,2473.1,1018.1,741.1,4232.3
1103,Chemu,Tigo,776.3,1663.1,233.4,2672.8
1104,Fadama,Tigo,1067.9,1198.8,229.7,2496.4
1107,Katamanto,Tigo,599.9,1045.8,347.2,1992.9
1110,Nima,Tigo,1544.8,1425.7,628.7,3599.2
1114,"Taifa Burkina",Tigo,1718,504.6,868.9,3091.5
1115,Amrahia,Tigo,655.2,362.5,323.4,1341.1
