site_id,run_hours
1015,78
1032,32
1037,33
1057,0
1060,13
1070,48
1076,29
1087,7
1088,32
1089,69
1090,128
1102,198
1119,7
1123,174
1124,19
1125,26
1126,12
1139,12
1142,30
1143,0
1168,151
1171,0
1174,522
1400,7
1401,2
1402,43
1403,679
1404,52
1405,1
1406,10
1407,2
1408,37
1409,65
1410,48
1411,31
1412,270
1413,0
1414,46
1415,213
1416,10
1417,88
1419,1
1420,65
1421,13
1422,56
1423,185
1425,175
1426,177
1427,35
1428,27
1429,40
1430,407
1431,14
1432,7
1433,56
1434,87
1435,82
1436,48
1437,42
1438,0
1439,102
1440,80
1441,23
1442,73
1443,202
1444,26
1445,288
1446,56
1448,19
1454,43
1455,627
1459,33
1464,76
1468,0
1469,64
1470,96
1472,45
1600,130
1601,18
1602,218
1603,72
1604,93
1605,9
1606,213
1607,445
1608,32
1609,0
1610,242
1611,0
1612,233
1613,56
1614,8
1615,6
1616,15
1617,24
1618,168
1619,32
1620,0
1621,0
1622,140
1623,51
1624,67
1625,46
1626,23
1629,114
1630,31
1631,112
1632,19
1635,0
1640,49
1641,211
1642,13
1643,35
1644,89
1645,17
1646,233
1647,92
1652,30
1653,78
1654,16
1655,77
1658,24
1917,22
1925,465
1926,0
1939,0
3005,0
6000,63
1003,329
1004,0
1005,34
1006,0
1007,25
1008,0
1009,6
1010,5
1011,59
1013,21
1017,23
1019,6
1020,0
1021,36
1022,15
1023,27
1024,13
1025,579
1030,8
1031,3
,0
1035,0
1038,50
1039,7
1040,11
1041,3
1044,182
1045,0
1047,0
1048,39
1049,20
1052,0
1053,0
1054,0
1056,348
1059,0
1061,275
1062,21
1064,21
1066,10
1067,60
1072,205
1073,635
1077,30
1078,0
1079,4
1080,28
1081,189
1082,9
1083,4
1085,21
1092,0
1093,167
1094,11
1097,162
1098,10
1099,3
1103,2
1104,6
1105,35
1106,2
1107,16
1108,0
1109,4
1111,2
1112,5
1113,123
1116,684
1118,4
1127,39
1129,36
1130,647
1132,40
1133,99
1134,13
1136,330
1138,8
1140,10
1145,316
1146,10
1147,183
1149,5
1150,77
1154,47
1156,1
1161,172
1162,0
1165,44
1167,13
1170,200
1172,11
1173,3
1175,0
1176,11
1177,85
1178,6
1179,588
1180,401
1181,267
1182,21
1184,0
1185,40
1186,59
1188,229
1189,13
1190,240
1192,25
1194,8
1195,8
1197,11
1199,6
1310,53
1311,176
1314,21
1315,3
1316,0
1322,25
1324,7
1328,25
1331,0
1334,75
1345,76
1367,41
1368,51
1374,52
1375,16
1385,4
1386,1
1387,137
1389,27
1701,44
1703,63
1707,21
1712,51
1717,517
1718,0
1719,290
1721,66
1723,76
1743,3
1757,53
1770,60
1793,3
1900,135
1901,19
1902,7
1905,95
1906,15
1907,29
1908,83
1909,0
1910,12
1911,165
1912,14
1913,0
1915,2
1922,84
1923,32
1927,433
1928,663
1929,6
1930,29
1931,9
1932,0
1933,163
1934,240
1936,8
1941,376
1942,40
1944,0
1945,11
1946,69
1947,498
1948,15
1949,457
1953,43
1956,8
1958,5
1963,15
1965,0
1967,10
1970,12
1971,13
1972,31
1974,335
4000,27
5001,628
1200,116
1201,13
1202,20
1203,30
1204,46
1205,95
1207,84
1208,58
1209,151
1210,652
1211,6
1212,12
1213,32
1214,36
1215,109
1216,144
1217,15
1218,34
1219,0
1220,11
1221,82
1222,0
1223,21
1224,16
1225,0
1226,40
1227,84
1228,67
1229,7
1230,0
1231,226
1232,75
1233,81
1235,84
1236,2
1237,81
1238,29
1241,0
1243,346
1244,62
1247,0
1249,72
1250,10
1260,95
1261,0
1268,37
1269,43
1270,0
1271,31
1272,19
1273,63
1274,165
1275,185
1276,42
1277,36
1278,73
1279,0
1280,18
1281,571
1282,0
1283,38
1284,36
1285,52
1286,18
1287,98
1288,8
1289,50
1290,18
1291,58
1292,34
1293,274
1296,0
1298,0
1299,96
1301,0
1302,0
1303,41
1304,201
1305,25
1309,0
1313,5
1317,0
1318,599
1319,27
1320,34
1323,93
1325,0
1326,266
1327,17
1329,8
1330,12
1332,142
1333,63
1335,27
1336,0
1337,44
1338,869
1339,1032
1340,33
1341,24
1342,26
1343,29
1344,43
1346,20
1347,50
1348,0
1349,62
1350,388
1351,37
1352,50
1353,2
1354,85
1355,198
1356,41
1357,0
1358,13
1360,7
1361,0
1362,0
1363,73
1364,43
1365,122
1366,31
1369,30
1370,0
1371,26
1372,433
1373,33
1376,89
1377,25
1378,37
1379,1
1380,88
1381,84
1382,179
1383,6
1388,38
1390,0
1391,126
1392,326
1395,31
1397,0
1398,4
1704,23
1705,351
1706,27
1708,281
1709,78
1713,92
1714,41
1715,792
1716,213
1720,0
1725,165
1726,134
1727,128
1728,366
1729,325
1730,55
1732,0
1733,0
1734,58
1735,32
1736,36
1737,0
1738,69
1739,0
1741,788
1742,367
1745,361
1746,91
1747,0
1750,36
1753,375
1754,10
1755,62
1758,0
1759,233
1760,53
1761,47
1764,168
1769,0
1785,0
1786,458
1790,277
1795,7
1800,40
1801,74
1802,65
1803,113
1804,0
1805,26
1806,133
1807,235
1808,56
1809,66
1810,38
1811,470
1812,46
1815,40
1817,83
1818,789
1819,549
1820,36
1821,165
1822,53
1823,0
1825,27
1826,159
1827,35
1828,69
1829,41
1831,22
1832,8
1834,0
1839,53
1840,0
1841,10
1842,289
1843,91
1845,0
1846,0
1848,69
1849,41
1850,43
1851,129
1852,28
1853,95
1855,0
1856,93
1858,8
1859,215
1860,97
1862,21
1863,99
1865,45
1867,70
1868,0
1869,206
1870,338
1871,34
1872,0
1890,0
1899,0
2768,2
3200,600
3202,0
3203,0
3204,230
3205,305
3207,552
3219,53
3220,15
3279,0
3280,0
3281,39
1014,1
1018,107
1026,1
1027,0
1036,12
1042,25
1043,167
1046,83
1055,20
1058,0
1063,248
1065,0
1068,89
1091,39
1095,6
1096,29
1100,0
1110,7
1114,36
1115,346
1117,1
1120,27
1121,14
1122,341
1128,359
1131,99
1135,576
1137,189
1141,104
1144,357
1148,7
1151,163
1152,47
1153,32
1155,418
1160,143
1163,11
1164,54
1166,0
1169,4
1183,2
1193,7
1196,564
1234,231
1239,19
1240,10
1242,9
1245,29
1246,545
1248,25
1251,238
1252,583
1253,430
1254,82
1255,11
1256,30
1257,53
1258,95
1259,28
1262,82
1263,19
1264,126
1265,147
1266,51
1267,26
1294,18
1295,236
1297,11
1500,34
1501,38
1502,20
1503,124
1504,0
1505,12
1506,7
1507,576
1508,51
1509,106
1510,66
1511,0
1512,409
1513,20
1514,0
1515,2
1516,14
1517,7
1518,10
1519,578
1520,0
1521,0
1522,655
1523,0
1524,14
1525,28
1526,148
1527,7
1528,37
1529,68
1530,122
1531,26
1532,44
1533,12
1534,13
1535,18
1536,41
1537,0
1538,19
1539,23
1540,10
1541,26
1542,0
1543,0
1544,100
1545,561
1546,24
1547,30
1548,61
1549,58
1550,49
1551,18
1552,31
1553,26
1554,624
1555,10
1556,36
1557,20
1558,613
1559,18
1561,0
1562,46
1563,20
1564,52
1565,126
1566,25
1567,23
1568,33
1572,0
1581,205
1582,90
1583,0
1591,30
1592,12
1593,668
1594,0
1598,16
1599,222
1813,65
1814,62
1816,124
1833,25
1835,33
1836,89
1837,0
1838,7
1873,511
1874,32
1875,11
1876,308
1877,34
1878,7
1879,88
1880,25
1881,10
1882,17
1883,0
1884,35
1885,0
1887,134
1888,0
1889,66
1891,27
1892,36
1893,11
1894,10
1896,23
1897,10
1898,50
1904,13
1914,14
1919,0
1920,260
1921,149
1924,5
1938,0
